CNNAM,FNFNUM,CNID,USERID,CREATED,MODIFIED
"Myrrh","298","MYRRH","DUKE","10-DEC-97",""
"Poison Hemlock","299","POISONHEMLOCK","DUKE","10-DEC-97",""
"Larkspur","300","LARKSPUR","DUKE","10-DEC-97",""
"Lily-Of-The-Valley","301","LILYOFTHEVALLEY","DUKE","10-DEC-97",""
"Butterweed","302","BUTTERWEED","DUKE","10-DEC-97",""
"Hogweed","302","HOGWEED","DUKE","10-DEC-97",""
"Horseweed","302","HORSEWEED","DUKE","10-DEC-97",""
"Copaiba","303","COPAIBA","DUKE","10-DEC-97",""
"Chinese Goldthread","304","CHINESEGOLDTHREAD","DUKE","10-DEC-97",""
"Huang-Lian","304","HUANGLIAN","DUKE","10-DEC-97",""
"Huang-Lien","304","HUANGLIEN","DUKE","10-DEC-97",""
"Huang-Lia","305","HUANGLIA","DUKE","10-DEC-97",""
"Huang-Lian","305","HUANGLIAN","DUKE","10-DEC-97",""
"Huang-Lien","305","HUANGLIEN","DUKE","10-DEC-97",""
"Japanese Goldthread","305","JAPANESEGOLDTHREAD","DUKE","10-DEC-97",""
"Generic Goldthread","306","GENERICGOLDTHREAD","DUKE","10-DEC-97",""
"Jew's Mallow","307","JEWSMALLOW","DUKE","10-DEC-97",""
"Mulukiya","307","MULUKIYA","DUKE","10-DEC-97",""
"Nalta Jute","307","NALTAJUTE","DUKE","10-DEC-97",""
"Coriander","308","CORIANDER","DUKE","10-DEC-97",""
