taxonid|relatednameusageid|relationtype|remarks
340340|5162|replacement name|
5419|5385|replacement name|, nom. superfl.
340338|5250|replacement name|
340339|5161|replacement name|
5406|5240|replacement name|
22336|135203|replacement name|
5532|120612|replacement name|, not validly publ.
120637|5555|replacement name|, nom. superfl.
5552|198342|replacement name|, not validly publ.
5534|120613|replacement name|, not validly publ.
5539|120619|replacement name|
5589|60520|replacement name|
5537|60520|replacement name|
452761|120627|replacement name|, not validly publ.
5556|120618|replacement name|, nom. illeg.
5536|120634|replacement name|
5538|120634|replacement name|
5642|120634|replacement name|, nom. illeg.
5595|5558|replacement name|, nom. superfl.
120639|198495|replacement name|
5712|98467|replacement name|, not validly publ.
5717|329644|replacement name|
5747|5745|replacement name|, not validly publ.
5701|44842|replacement name|, nom. superfl.
5759|5758|replacement name|, not validly publ.
5845|5844|replacement name|, not validly publ.
5881|198033|replacement name|, not validly publ.
5857|198032|replacement name|, not validly publ.
5864|12354|replacement name|, not validly publ.
5868|5750|replacement name|
5807|5816|replacement name|, nom. nud.
5889|5746|replacement name|, not validly publ.
64239|5903|replacement name|, nom. illeg.
118978|104768|replacement name|, not validly publ.
5958|5957|replacement name|, not validly publ.
7523|89106|replacement name|, nom. superfl.
332624|62583|replacement name|, not validly publ.
37266|62584|replacement name|, nom. superfl.
6158|143445|replacement name|
6222|188566|replacement name|, nom. illeg.
452451|6246|replacement name|, not validly publ.
6333|6330|replacement name|, not validly publ.
386874|6477|replacement name|
452453|21163|replacement name|, not validly publ.
6261|21138|replacement name|, not validly publ.
6295|6583|replacement name|, not validly publ.
6298|6583|replacement name|
6583|21228|replacement name|, nom. superfl.
331844|6302|replacement name|
6673|21145|replacement name|, opus utique oppr.
386881|21145|replacement name|, not validly publ.
469822|343021|replacement name|
386892|21279|replacement name|
545105|218621|replacement name|
6446|218622|replacement name|
21553|21143|replacement name|, nom. superfl.
218622|21599|replacement name|, nom. superfl.
6641|6548|replacement name|
6402|6461|replacement name|
452461|21403|replacement name|, not validly publ.
452464|6476|replacement name|, not validly publ.
6520|21839|replacement name|, nom. superfl.
6337|6283|replacement name|, not validly publ.
6637|6572|replacement name|, nom. illeg.
6581|6578|replacement name|, not validly publ.
6609|21729|replacement name|, not validly publ.
6664|6287|replacement name|
487275|6287|replacement name|, nom. superfl.
487276|6287|replacement name|, nom. superfl.
487277|487276|replacement name|
536672|6521|replacement name|
46284|16151|replacement name|
6754|16182|replacement name|
212301|212790|replacement name|, nom. superfl.
6952|212790|replacement name|, nom. superfl.
113798|212790|replacement name|, nom. superfl.
212790|6894|replacement name|, nom. superfl.
113761|113312|replacement name|
6955|113312|replacement name|, nom. superfl.
113840|113757|replacement name|, nom. superfl.
6961|374816|replacement name|
7019|345080|replacement name|, nom. illeg.
7072|7129|replacement name|
214797|214795|replacement name|, nom. superfl.
7038|214797|replacement name|
7044|7116|replacement name|
477852|66154|replacement name|, nom. superfl.
7206|93973|replacement name|
7278|93956|replacement name|
7264|93956|replacement name|, nom. superfl.
7315|7416|replacement name|
7209|23695|replacement name|
7334|7433|replacement name|
7349|7433|replacement name|, nom. superfl.
7387|93980|replacement name|
7299|93958|replacement name|
7261|93968|replacement name|
170943|93968|replacement name|, nom. nud.
170956|93980|replacement name|, nom. nud.
7204|93991|replacement name|, nom. superfl.
170936|7218|replacement name|
7486|7487|replacement name|, nom. illeg.
65160|96009|replacement name|, nom. superfl.
96009|7503|replacement name|, nom. superfl.
96045|7503|replacement name|, nom. superfl.
7571|7570|replacement name|, not validly publ.
7573|7584|replacement name|
7596|7594|replacement name|
341466|7882|replacement name|
132757|132603|replacement name|
33408|171357|replacement name|, nom. illeg.
171360|203925|replacement name|, nom. illeg.
8150|16404|replacement name|, nom. illeg.
101091|8150|replacement name|, nom. illeg.
48209|8150|replacement name|, nom. illeg.
171361|16057|replacement name|
8198|101112|replacement name|
8162|8056|replacement name|
8163|8165|replacement name|
46565|8238|replacement name|, nom. illeg.
16063|63995|replacement name|, nom. illeg.
33409|63995|replacement name|, nom. illeg.
46568|8155|replacement name|, nom. illeg.
33410|63995|replacement name|, nom. illeg.
8255|16063|replacement name|, not validly publ.
33411|16369|replacement name|, nom. illeg.
16369|63995|replacement name|, nom. illeg.
8155|63995|replacement name|, nom. illeg.
